DIA;HORA;ox;diox;o3;t
1;0;40.846;18.965;3.069;17.327
1;1;27.494;18.062;4.518;17.308
1;2;24.014;15.327;7.103;17.33
1;3;17.122;9.623;15.375;19.018
1;4;16.83;9.561;17.33;19.739
1;5;16.732;9.596;18.097;19.742
1;6;17.7;10.167;16.78;19.567
1;7;19.277;11.257;15.782;19.698
1;8;20.218;11.478;15.408;20.954
1;9;19.098;10.093;16.232;22.635
1;10;18.164;9.353;17.399;24.159
1;11;17.71;9.237;18.646;26.081
1;12;18.056;9.718;20.516;27.914
1;13;16.106;8.644;23.615;29.629
1;14;15.279;8.113;26.192;30.814
1;15;15.825;8.654;28.116;30.979
1;16;16.375;9.24;29.352;30.928
1;17;18.578;11.467;29.521;29.579
1;18;21.742;14.74;22.307;26.781
1;19;48.972;26.539;6.782;23.454
1;20;68.203;28.441;2.666;20.9
1;21;54.211;26.218;2.672;20.035
1;22;55.029;25.567;2.342;19.101
1;23;48.03;25.093;2.76;18.967
2;0;46.103;23.691;2.581;18.838
2;1;38.416;22.728;3.425;18.645
2;2;29.623;19.798;4.902;18.157
2;3;25.613;17.107;7.48;19.015
2;4;20.89;13.283;12.339;19.601
2;5;18.397;11.094;17.561;21.742
2;6;19.711;12.25;16.778;22.043
2;7;24.054;15.725;13.716;21.983
2;8;29.816;19.337;9.849;22.246
2;9;28.196;17.088;12.655;24.753
2;10;22.313;13.041;21.006;26.5
2;11;19.684;11.575;33.351;26.343
2;12;21.073;12.447;32.441;26.521
2;13;17.097;9.535;36.09;26.243
2;14;15.992;8.466;31.857;25.743
2;15;17.438;9.41;28.142;25.132
2;16;16.841;9.337;26.889;22.964
2;17;18.338;10.692;24.912;22.341
2;18;18.302;10.865;24.549;21.784
2;19;18.426;11.12;23.895;21.359
2;20;16.875;9.568;24.21;20.983
2;21;14.515;7.563;25.209;20.935
2;22;16.05;8.895;23.377;21.259
2;23;14.887;7.854;24.253;21.231
3;0;19.286;11.868;19.693;20.278
3;1;17.582;10.417;19.84;19.895
3;2;16.371;9.047;19.987;19.731
3;3;17.58;10.24;17.286;19.25
3;4;17.348;9.739;19.726;19.318
3;5;24.081;15.403;11.096;19.375
3;6;21.926;13.559;15.835;19.383
3;7;28.148;17.236;13.54;19.83
3;8;29.751;18.332;12.607;19.998
3;9;20.525;11.529;17.398;20.3
3;10;23.695;14.169;15.317;21.2
3;11;28.39;17.843;11.987;20.885
3;12;24.902;15.118;13.041;19.742
3;13;26.503;16.099;15.669;20.434
3;14;16.971;8.913;23.242;22.406
3;15;16.625;8.782;24.323;22.918
3;16;17.315;9.716;23.085;22.297
